Zona;Especie de vertebrado;Condición;Familia;XY;Dermestes ater;Dermestes frischii;Dermestes maculatus;Necrobia rufipes;Notiobia peruviana;Paederus ornaticornis;Paraneda p. guticollis;Phaleria pacifica;Hypocaccus gaudens
Playa;Chelonia mydas;Seco o restos;Histeridae;-86.45371667;0;72;36;0;0;0;0;6;192
Playa;Chelonia mydas;Seco o restos;Dermestidae;-86.45371667;0;72;36;0;0;0;0;6;192
Manglar Norte;Pelecanus thagus;Seco o restos;Dermestidae;-86.44325;0;8;0;0;0;0;4;12;0
Manglar Norte;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.44325;0;8;0;0;0;0;4;12;0
Manglar Norte;Pelecanus thagus;Seco o restos;Coccinelidae;-86.44325;0;8;0;0;0;0;4;12;0
Manglar Norte;Pelecanus thagus;Seco o restos;Dermestidae;-86.44051666;0;96;0;15;0;0;0;3;0
Manglar Norte;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.44051666;0;96;0;15;0;0;0;3;0
Playa;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.44571667;0;8;0;0;0;0;0;6;14
Playa;Chelonia mydas;Seco o restos;Dermestidae;-86.45371667;0;72;36;0;0;0;0;6;192
Playa;Pelecanus thagus;Seco o restos;Histeridae;-86.44571667;0;8;0;0;0;0;0;6;14
Playa;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.44566667;0;161;0;0;0;0;0;490;112
Playa;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.44566667;0;161;0;0;0;0;0;490;112
Playa;Pelecanus thagus;Seco o restos;Dermestidae;-86.44566667;0;161;0;0;0;0;0;490;112
Playa;Pelecanus thagus;Seco o restos;Histeridae;-86.44566667;0;161;0;0;0;0;0;490;112
Playa;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.44566667;0;161;0;0;0;0;0;490;112
Playa;Sula variegata;Seco o restos;Tenebrionidae;-86.44673333;0;0;0;0;0;0;0;18;2
Playa;Sula variegata;Seco o restos;Histeridae;-86.44673333;0;0;0;0;0;0;0;18;2
Playa;Sula variegata;Seco o restos;Tenebrionidae;-86.44681666;0;0;4;0;0;0;0;340;4
Playa;Sula variegata;Seco o restos;Dermestidae;-86.44681666;0;0;4;0;0;0;0;340;4
Playa;Chelonia mydas;Seco o restos;Histeridae;-86.45371667;0;72;36;0;0;0;0;6;192
Playa;Sula variegata;Seco o restos;Histeridae;-86.44681666;0;0;4;0;0;0;0;340;4
